Bus Number,Service Date,Route/Down/NIS,Date When Service Went Down,Bus Went Down on Service Date,Expected Return Date,Specify Other Reason Here,Current Status for Down Buses,Operations Down Bus Reason 1,Operations Down Bus Reason 2,Operations Down Bus Reason 3,Down Duration,AM Pull-out Route/Down/NIS,AM Pullout Down Bus Reason 1,AM Pullout Down Bus Reason 2,Bus Status Change
1141.0,2023-08-27,Down,2023-06-21 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Overheating Engine,Not Specified,Not Specified,67.0,Down,Overheating Engine,Not Specified,Yes
1141.0,2023-08-28,Down,2023-06-21 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Overheating Engine,Not Specified,Not Specified,68.0,Down,Overheating Engine,Not Specified,Yes
1141.0,2023-08-29,Down,2023-06-21 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Overheating Engine,Not Specified,Not Specified,69.0,Down,Overheating Engine,Not Specified,Yes
1141.0,2023-08-31,Down,2023-06-21 00:00:00,Not Specified,2023-09-07 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Overheating Engine,Not Specified,Not Specified,71.0,Down,Overheating Engine,Not Specified,Yes
1141.0,2023-09-05,Down,2023-06-21 00:00:00,Not Specified,2023-09-07 00:00:00,Not Specified,Awaiting Diagnostics,Overheating Engine,Not Specified,Not Specified,76.0,Down,Overheating,Not Specified,Yes
1141.0,2023-09-10,Down,2023-06-21 00:00:00,Not Specified,2023-09-12 00:00:00,Not Specified,Awaiting Diagnostics,Overheating Engine,Not Specified,Not Specified,81.0,Down,Overheating Engine,Not Specified,Yes
1142.0,2023-08-09,Down,2023-07-22 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,18.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-10,Down,2023-07-22 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,19.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-11,Down,2023-07-22 00:00:00,Not Specified,None,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,20.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-12,Down,2023-07-22 00:00:00,Not Specified,None,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,21.0,Down,Not Specified,Not Specified,Yes
1142.0,2023-08-13,Down,2023-07-22 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,22.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-16,Down,2023-07-22 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,25.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-17,Down,2023-07-22 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Accident Damage,Not Specified,Not Specified,26.0,Down,Accident Damage,Not Specified,Yes
1142.0,2023-08-18,Spare,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Down,Accident Damage,Not Specified,No
1142.0,2023-08-19,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1142.0,2023-08-20,Not In Service,2023-08-20 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Going to Vendor,A/C (HVAC) Issues,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,No
1142.0,2023-08-21,Not In Service,2023-08-21 00:00:00,Yes,2023-08-22 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,No
1142.0,2023-08-22,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1142.0,2023-08-23,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1142.0,2023-08-24,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1142.0,2023-08-25,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1142.0,2023-08-27,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1142.0,2023-08-28,Not In Service,2023-08-28 00:00:00,Yes,2023-08-29 00:00:00,Not Specified,In Progress,Kneel Inoperable,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
1142.0,2023-08-29,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1142.0,2023-08-31,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,No
1142.0,2023-09-05,Not In Service,2023-09-05 00:00:00,Yes,2023-09-06 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,No
1142.0,2023-09-10,Down,2023-09-06 00:00:00,Not Specified,2023-09-12 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,4.0,Down,A/C (HVAC) Issues,Not Specified,Yes
1143.0,2023-08-09,Down,2023-07-11 00:00:00,Not Specified,2023-08-08 00:00:00,Not Specified,In Progress,Fuel System/Leaks/Pressure,Not Specified,Not Specified,29.0,Down,Fuel System/Leaks/Pressure,Not Specified,Yes
1143.0,2023-08-10,Down,2023-07-11 00:00:00,Not Specified,2023-08-08 00:00:00,Not Specified,In Progress,Fuel System/Leaks/Pressure,Not Specified,Not Specified,30.0,Down,Fuel System/Leaks/Pressure,Not Specified,Yes
1143.0,2023-08-11,Down,2023-08-11 00:00:00,Not Specified,2023-08-11 00:00:00,Not Specified,Awaiting Diagnostics,A/C (HVAC) Issues,Not Specified,Not Specified,0.0,Down,Fuel System/Leaks/Pressure,Not Specified,Yes
1143.0,2023-08-12,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1143.0,2023-08-13,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
1143.0,2023-08-16,Not In Service,2023-08-16 00:00:00,Yes,2023-08-17 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,No
1143.0,2023-08-17,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1143.0,2023-08-18,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1143.0,2023-08-19,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1143.0,2023-08-20,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1143.0,2023-08-21,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
1143.0,2023-08-22,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
1143.0,2023-08-23,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1143.0,2023-08-24,Not In Service,2023-08-24 00:00:00,Yes,2023-08-31 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
1143.0,2023-08-25,Spare,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,Yes
1143.0,2023-08-27,Down,2023-08-25 00:00:00,Not Specified,2023-08-30 00:00:00,AUDIT DEFECTS/ SS AXLE 2,In Progress,AUDIT DEFECTS/ SS AXLE 2,Not Specified,Not Specified,2.0,Down,Audit 'B'/ Ss Axle 2 Light,Not Specified,Yes
1143.0,2023-08-28,Not In Service,2023-08-28 00:00:00,Yes,2023-08-29 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,Down,A or B Defects,Not Specified,No
1143.0,2023-08-29,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
1143.0,2023-08-31,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1143.0,2023-09-05,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
1143.0,2023-09-10,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2001.0,2023-08-09,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
2001.0,2023-08-10,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2001.0,2023-08-11,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2001.0,2023-08-12,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,No
2001.0,2023-08-13,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2001.0,2023-08-16,EM-LP,None,Not Specified,2023-08-31 00:00:00,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2001.0,2023-08-17,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2001.0,2023-08-18,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2001.0,2023-08-19,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2001.0,2023-08-20,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2001.0,2023-08-21,Down,2023-08-21 00:00:00,Yes,2023-08-22 00:00:00,Not Specified,In Progress,Air Leak,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,No
2001.0,2023-08-22,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
2001.0,2023-08-23,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2001.0,2023-08-24,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2001.0,2023-08-25,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2001.0,2023-08-27,Not In Service,2023-08-27 00:00:00,Yes,2023-08-28 00:00:00,Not Specified,In Progress,Follow Up,Not Specified,Not Specified,0.0,Down,Follow Up,Not Specified,No
2001.0,2023-08-28,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
2001.0,2023-08-29,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2001.0,2023-08-31,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
2001.0,2023-09-05,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2001.0,2023-09-10,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,No
2002.0,2023-08-09,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2002.0,2023-08-10,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2002.0,2023-08-11,Down,2023-08-11 00:00:00,Yes,2023-08-11 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Accident Damage,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,No
2002.0,2023-08-12,Down,2023-08-11 00:00:00,Not Specified,None,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,1.0,WP-AM,Not Specified,Not Specified,No
2002.0,2023-08-13,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Accident Damage,Not Specified,Not Specified,2.0,Down,Accident Damage,Not Specified,Yes
2002.0,2023-08-16,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Accident Damage,Not Specified,Not Specified,5.0,Down,Accident Damage,Not Specified,Yes
2002.0,2023-08-17,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Accident Damage,Not Specified,Not Specified,6.0,Down,Accident Damage,Not Specified,Yes
2002.0,2023-08-18,Down,2023-08-11 00:00:00,Yes,2023-08-11 00:00:00,Not Specified,Going to Vendor,Accident Damage,Not Specified,Not Specified,7.0,Down,Accident Damage,Not Specified,Yes
2002.0,2023-08-19,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,No
2002.0,2023-08-20,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2002.0,2023-08-21,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2002.0,2023-08-22,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2002.0,2023-08-23,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2002.0,2023-08-24,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2002.0,2023-08-25,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2002.0,2023-08-27,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2002.0,2023-08-28,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
2002.0,2023-08-29,RS-DP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,RS-DP,Not Specified,Not Specified,Yes
2002.0,2023-08-31,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,NMS,Not Specified,Not Specified,Yes
2002.0,2023-09-05,Not In Service,2023-09-05 00:00:00,Yes,2023-09-06 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,No
2002.0,2023-09-10,Not In Service,2023-09-10 00:00:00,Not Specified,2023-09-11 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),A/C (HVAC) Issues,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,No
2003.0,2023-08-09,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Down,Check/Stop System/Engine Lights,Not Specified,No
2003.0,2023-08-10,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2003.0,2023-08-11,Down,2023-08-11 00:00:00,Yes,2023-08-11 00:00:00,BAE/WONT START,Awaiting Service/Parts (incl. Proterra),Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,No
2003.0,2023-08-12,Down,2023-08-11 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,1.0,GT-US,Not Specified,Not Specified,No
2003.0,2023-08-13,Down,2023-08-11 00:00:00,Not Specified,2023-08-15 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,2.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-16,Down,2023-08-11 00:00:00,Not Specified,2023-08-25 00:00:00,Not Specified,Awaiting Service/Parts (incl. Proterra),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,5.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-17,Down,2023-08-11 00:00:00,Not Specified,2023-08-21 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,6.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-18,Down,2023-08-11 00:00:00,Yes,2023-08-11 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,7.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-19,Down,2023-08-11 00:00:00,Yes,2023-08-21 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,8.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-20,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,9.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-21,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,10.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-22,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,11.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-23,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,12.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-24,Down,2023-08-11 00:00:00,Not Specified,2023-08-31 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,13.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-25,Down,2023-08-11 00:00:00,Yes,2023-09-01 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,14.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-27,Down,2023-08-11 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,16.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-28,Down,2023-08-11 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,17.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-29,Down,2023-08-11 00:00:00,Not Specified,2023-09-01 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,18.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-08-31,Down,2023-08-11 00:00:00,Not Specified,2023-09-07 00:00:00,Not Specified,Going to/At/On-site Vendor (i.e. Cummins),Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,20.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-09-05,Down,2023-08-11 00:00:00,Not Specified,2023-09-07 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,25.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2003.0,2023-09-10,Down,2023-08-11 00:00:00,Not Specified,2023-09-20 00:00:00,Not Specified,Going to Vendor,Bae Issues/Doesn't Move/Cluster,Not Specified,Not Specified,30.0,Down,Bae Issues/Doesn't Move/Cluster,Not Specified,Yes
2004.0,2023-08-09,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-10,WP-AM,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,WP-AM,Not Specified,Not Specified,Yes
2004.0,2023-08-11,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2004.0,2023-08-12,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,No
2004.0,2023-08-13,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-16,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,NMS,Not Specified,Not Specified,Yes
2004.0,2023-08-17,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2004.0,2023-08-18,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
2004.0,2023-08-19,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-20,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2004.0,2023-08-21,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-22,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-23,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-24,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
2004.0,2023-08-25,CH-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,CH-US,Not Specified,Not Specified,Yes
2004.0,2023-08-27,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2004.0,2023-08-28,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,NMS,Not Specified,Not Specified,Yes
2004.0,2023-08-29,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2004.0,2023-08-31,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
2004.0,2023-09-05,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2004.0,2023-09-10,Spare,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,No
2005.0,2023-08-09,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2005.0,2023-08-10,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,NMS,Not Specified,Not Specified,Yes
2005.0,2023-08-11,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2005.0,2023-08-12,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,EM-LP,Not Specified,Not Specified,Yes
2005.0,2023-08-13,NMS,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
2005.0,2023-08-16,EM-LP,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,NMS,Not Specified,Not Specified,No
2005.0,2023-08-17,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,Spare,Not Specified,Not Specified,No
2005.0,2023-08-18,GT-US,None,Not Specified,None,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,0.0,GT-US,Not Specified,Not Specified,Yes
